"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_900087465.1","GCF_900087475.1","GCF_900087485.1","GCF_900087495.1","GCF_900087505.1","GCF_900087515.1","GCF_900087535.1","GCF_900087545.1","GCF_900087575.1","GCF_900087585.1","GCF_900087595.1","GCF_900087665.1","GCF_900087695.1","GCF_900087755.1","GCF_900087765.1","GCF_900087825.1","GCF_900087835.1","GCF_900087845.1","GCF_900087885.1","GCF_900087925.1"
"cysM","","Cysteine synthase","20","20","1","5","86","","","","917","917","917","BJDFHBJJ_00308","FHFNEIGL_00393","NPNHHEFA_00889","EKGGEFJM_00892","IPCEDBCE_00011","BPLIIOBE_00161","LAKMDKJD_00310","HCNCMENI_00306","ABPCLIDI_00214","DPDPODFO_00781","GEBNMNOD_01301","FPOKCNBF_00070","JPMNGIHJ_01031","IENJPBOG_01415","EKEBIHOE_01509","KADELANJ_01336","NDKHHKNJ_00904","PDJHNNAA_01496","PHDCEHKO_00467","OOEMJHNJ_01074"
"wbnK","","O-antigen biosynthesis glycosyltransferase WbnK","20","20","1","5","102","","","","440","902","555","BJDFHBJJ_00322","FHFNEIGL_00379","NPNHHEFA_00902","EKGGEFJM_00906","IPCEDBCE_00025","BPLIIOBE_00148","LAKMDKJD_00323","HCNCMENI_00319","ABPCLIDI_00200","DPDPODFO_00767","GEBNMNOD_01315","FPOKCNBF_01014","JPMNGIHJ_01045","IENJPBOG_00244","EKEBIHOE_00544","KADELANJ_01350","NDKHHKNJ_01360","PDJHNNAA_01236","PHDCEHKO_00482","OOEMJHNJ_00271"
"def","","Peptide deformylase","20","20","1","4","133","","","","524","524","524","BJDFHBJJ_00071","FHFNEIGL_00070","NPNHHEFA_00069","EKGGEFJM_00067","IPCEDBCE_00238","BPLIIOBE_00272","LAKMDKJD_00069","HCNCMENI_00069","ABPCLIDI_00781","DPDPODFO_00165","GEBNMNOD_00588","FPOKCNBF_00003","JPMNGIHJ_00177","IENJPBOG_00121","EKEBIHOE_01107","KADELANJ_01135","NDKHHKNJ_00218","PDJHNNAA_01095","PHDCEHKO_01068","OOEMJHNJ_01133"
"rocF","","Arginase","20","20","1","1","108","","","","968","968","968","BJDFHBJJ_00866","FHFNEIGL_00818","NPNHHEFA_00685","EKGGEFJM_00826","IPCEDBCE_01052","BPLIIOBE_00985","LAKMDKJD_00818","HCNCMENI_00978","ABPCLIDI_01073","DPDPODFO_00278","GEBNMNOD_01249","FPOKCNBF_01072","JPMNGIHJ_00278","IENJPBOG_00831","EKEBIHOE_01419","KADELANJ_00172","NDKHHKNJ_00656","PDJHNNAA_00136","PHDCEHKO_00925","OOEMJHNJ_01348"
"group_1023","","Aminopeptidase","20","20","1","3","295","","","","1073","1073","1073","BJDFHBJJ_00901","FHFNEIGL_00566","NPNHHEFA_00734","EKGGEFJM_00971","IPCEDBCE_00805","BPLIIOBE_00709","LAKMDKJD_00920","HCNCMENI_01028","ABPCLIDI_01331","DPDPODFO_01314","GEBNMNOD_00984","FPOKCNBF_01467","JPMNGIHJ_00821","IENJPBOG_01038","EKEBIHOE_01053","KADELANJ_00926","NDKHHKNJ_00526","PDJHNNAA_01421","PHDCEHKO_00202","OOEMJHNJ_01035"
"csrA","","Carbon storage regulator","20","20","1","1","650","","","","230","230","230","BJDFHBJJ_01568","FHFNEIGL_00595","NPNHHEFA_00386","EKGGEFJM_00579","IPCEDBCE_00570","BPLIIOBE_00738","LAKMDKJD_00498","HCNCMENI_00589","ABPCLIDI_00676","DPDPODFO_00795","GEBNMNOD_00114","FPOKCNBF_00645","JPMNGIHJ_00288","IENJPBOG_00333","EKEBIHOE_00176","KADELANJ_00360","NDKHHKNJ_00056","PDJHNNAA_00089","PHDCEHKO_00260","OOEMJHNJ_00947"
"group_1025","","hypothetical protein","20","20","1","1","594","","","","1118","1118","1118","BJDFHBJJ_01350","FHFNEIGL_01298","NPNHHEFA_01313","EKGGEFJM_00432","IPCEDBCE_00530","BPLIIOBE_00527","LAKMDKJD_01379","HCNCMENI_00703","ABPCLIDI_01137","DPDPODFO_00204","GEBNMNOD_00628","FPOKCNBF_00936","JPMNGIHJ_00609","IENJPBOG_00496","EKEBIHOE_00582","KADELANJ_00803","NDKHHKNJ_00855","PDJHNNAA_01188","PHDCEHKO_00999","OOEMJHNJ_00601"
"trpG","","Anthranilate synthase component 2","20","20","1","1","209","","","","584","584","584","BJDFHBJJ_00780","FHFNEIGL_01161","NPNHHEFA_00522","EKGGEFJM_00693","IPCEDBCE_00871","BPLIIOBE_00873","LAKMDKJD_00650","HCNCMENI_00811","ABPCLIDI_00039","DPDPODFO_01135","GEBNMNOD_00865","FPOKCNBF_01264","JPMNGIHJ_00116","IENJPBOG_00660","EKEBIHOE_00959","KADELANJ_01094","NDKHHKNJ_00954","PDJHNNAA_00763","PHDCEHKO_01163","OOEMJHNJ_00742"
"obg","","GTPase Obg","20","20","1","1","486","","","","1082","1082","1082","BJDFHBJJ_00418","FHFNEIGL_01082","NPNHHEFA_00307","EKGGEFJM_00499","IPCEDBCE_00671","BPLIIOBE_00577","LAKMDKJD_00511","HCNCMENI_00510","ABPCLIDI_00978","DPDPODFO_00347","GEBNMNOD_00644","FPOKCNBF_00259","JPMNGIHJ_01158","IENJPBOG_01095","EKEBIHOE_00327","KADELANJ_00241","NDKHHKNJ_01225","PDJHNNAA_00713","PHDCEHKO_00797","OOEMJHNJ_00814"
"clpS","","ATP-dependent Clp protease adapter protein ClpS","20","20","1","5","168","","","","275","275","275","BJDFHBJJ_00386","FHFNEIGL_00316","NPNHHEFA_01020","EKGGEFJM_00369","IPCEDBCE_00086","BPLIIOBE_00087","LAKMDKJD_00386","HCNCMENI_00380","ABPCLIDI_00139","DPDPODFO_00706","GEBNMNOD_01377","FPOKCNBF_00214","JPMNGIHJ_00024","IENJPBOG_00184","EKEBIHOE_00483","KADELANJ_01432","NDKHHKNJ_01180","PDJHNNAA_00504","PHDCEHKO_01375","OOEMJHNJ_00334"
"group_1029","","hypothetical protein","20","20","1","4","37","","","","740","740","740","BJDFHBJJ_00142","FHFNEIGL_00139","NPNHHEFA_00138","EKGGEFJM_00135","IPCEDBCE_00306","BPLIIOBE_00204","LAKMDKJD_00139","HCNCMENI_00137","ABPCLIDI_00238","DPDPODFO_00033","GEBNMNOD_00161","FPOKCNBF_00115","JPMNGIHJ_01445","IENJPBOG_01205","EKEBIHOE_00246","KADELANJ_00744","NDKHHKNJ_00839","PDJHNNAA_00880","PHDCEHKO_00110","OOEMJHNJ_00399"
"yidC","","Membrane protein insertase YidC","20","20","1","1","657","","","","1643","1643","1643","BJDFHBJJ_01562","FHFNEIGL_00601","NPNHHEFA_00392","EKGGEFJM_00585","IPCEDBCE_00576","BPLIIOBE_00744","LAKMDKJD_00492","HCNCMENI_00595","ABPCLIDI_00682","DPDPODFO_00801","GEBNMNOD_00108","FPOKCNBF_00639","JPMNGIHJ_00294","IENJPBOG_00327","EKEBIHOE_00170","KADELANJ_00366","NDKHHKNJ_00062","PDJHNNAA_00083","PHDCEHKO_00266","OOEMJHNJ_00953"
"purB","","Adenylosuccinate lyase","20","20","1","2","208","","","","1322","1322","1322","BJDFHBJJ_01485","FHFNEIGL_01439","NPNHHEFA_01479","EKGGEFJM_01444","IPCEDBCE_01495","BPLIIOBE_01488","LAKMDKJD_01500","HCNCMENI_01519","ABPCLIDI_00574","DPDPODFO_01468","GEBNMNOD_00803","FPOKCNBF_01336","JPMNGIHJ_00503","IENJPBOG_01455","EKEBIHOE_01390","KADELANJ_01309","NDKHHKNJ_00584","PDJHNNAA_01207","PHDCEHKO_01550","OOEMJHNJ_00518"
"groS","","10 kDa chaperonin","20","20","1","5","188","","","","356","356","356","BJDFHBJJ_00405","FHFNEIGL_00297","NPNHHEFA_01001","EKGGEFJM_00350","IPCEDBCE_00105","BPLIIOBE_00068","LAKMDKJD_00405","HCNCMENI_00400","ABPCLIDI_00120","DPDPODFO_00687","GEBNMNOD_01396","FPOKCNBF_00233","JPMNGIHJ_00043","IENJPBOG_00165","EKEBIHOE_00464","KADELANJ_01451","NDKHHKNJ_01199","PDJHNNAA_00523","PHDCEHKO_01356","OOEMJHNJ_00353"
"nusA","","Transcription termination/antitermination protein NusA","20","20","1","1","32","","","","1187","1187","1187","BJDFHBJJ_00515","FHFNEIGL_00664","NPNHHEFA_00457","EKGGEFJM_00649","IPCEDBCE_00639","BPLIIOBE_00808","LAKMDKJD_00427","HCNCMENI_00661","ABPCLIDI_00746","DPDPODFO_00864","GEBNMNOD_00044","FPOKCNBF_00576","JPMNGIHJ_00358","IENJPBOG_00264","EKEBIHOE_00107","KADELANJ_00430","NDKHHKNJ_00126","PDJHNNAA_00020","PHDCEHKO_00329","OOEMJHNJ_00129"
"group_1034","","hypothetical protein","20","20","1","1","110","","","","815","815","815","BJDFHBJJ_00864","FHFNEIGL_00820","NPNHHEFA_00683","EKGGEFJM_00828","IPCEDBCE_01050","BPLIIOBE_00987","LAKMDKJD_00816","HCNCMENI_00976","ABPCLIDI_01071","DPDPODFO_00280","GEBNMNOD_01247","FPOKCNBF_01070","JPMNGIHJ_00276","IENJPBOG_00833","EKEBIHOE_01421","KADELANJ_00174","NDKHHKNJ_00654","PDJHNNAA_00134","PHDCEHKO_00923","OOEMJHNJ_01346"
"smpB","","SsrA-binding protein","20","20","1","1","652","","","","458","458","458","BJDFHBJJ_01566","FHFNEIGL_00597","NPNHHEFA_00388","EKGGEFJM_00581","IPCEDBCE_00572","BPLIIOBE_00740","LAKMDKJD_00496","HCNCMENI_00591","ABPCLIDI_00678","DPDPODFO_00797","GEBNMNOD_00112","FPOKCNBF_00643","JPMNGIHJ_00290","IENJPBOG_00331","EKEBIHOE_00174","KADELANJ_00362","NDKHHKNJ_00058","PDJHNNAA_00087","PHDCEHKO_00262","OOEMJHNJ_00949"
"tmk","","Thymidylate kinase","20","20","1","1","682","","","","575","575","575","BJDFHBJJ_00554","FHFNEIGL_00625","NPNHHEFA_00417","EKGGEFJM_00610","IPCEDBCE_00600","BPLIIOBE_00769","LAKMDKJD_00465","HCNCMENI_00620","ABPCLIDI_00707","DPDPODFO_00825","GEBNMNOD_00083","FPOKCNBF_00615","JPMNGIHJ_00319","IENJPBOG_00303","EKEBIHOE_00146","KADELANJ_00391","NDKHHKNJ_00087","PDJHNNAA_00059","PHDCEHKO_00290","OOEMJHNJ_00977"
"atpF_1","","ATP synthase subunit b","20","20","1","2","169","","","","515","515","515","BJDFHBJJ_01474","FHFNEIGL_01403","NPNHHEFA_01398","EKGGEFJM_01422","IPCEDBCE_01473","BPLIIOBE_01453","LAKMDKJD_01489","HCNCMENI_01414","ABPCLIDI_01535","DPDPODFO_01444","GEBNMNOD_01270","FPOKCNBF_00767","JPMNGIHJ_01413","IENJPBOG_01544","EKEBIHOE_01485","KADELANJ_00990","NDKHHKNJ_01322","PDJHNNAA_01528","PHDCEHKO_01222","OOEMJHNJ_01545"
