locus_tag	ftype	gene	EC_number	product
PDJHNNAA_00001	CDS	thyX	2.1.1.148	Flavin-dependent thymidylate synthase
PDJHNNAA_00001	gene	thyX		
PDJHNNAA_00002	CDS	glmS	2.6.1.16	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PDJHNNAA_00002	gene	glmS		
PDJHNNAA_00003	CDS			hypothetical protein
PDJHNNAA_00003	gene			
PDJHNNAA_00004	CDS	mqnB	3.2.2.26	Futalosine hydrolase
PDJHNNAA_00004	gene	mqnB		
PDJHNNAA_00005	CDS	dnaA		Chromosomal replication initiator protein DnaA
PDJHNNAA_00005	gene	dnaA		
PDJHNNAA_00006	CDS			hypothetical protein
PDJHNNAA_00006	gene			
PDJHNNAA_00007	tRNA			tRNA-Phe(gaa)
PDJHNNAA_00007	gene			
PDJHNNAA_00008	CDS	exoA	3.1.11.2	Exodeoxyribonuclease
PDJHNNAA_00008	gene	exoA		
PDJHNNAA_00009	CDS			hypothetical protein
PDJHNNAA_00009	gene			
PDJHNNAA_00010	CDS			hypothetical protein
PDJHNNAA_00010	gene			
PDJHNNAA_00011	CDS	recG	3.6.4.12	ATP-dependent DNA helicase RecG
PDJHNNAA_00011	gene	recG		
PDJHNNAA_00012	CDS			hypothetical protein
PDJHNNAA_00012	gene			
PDJHNNAA_00013	CDS			hypothetical protein
PDJHNNAA_00013	gene			
PDJHNNAA_00014	CDS			hypothetical protein
PDJHNNAA_00014	gene			
PDJHNNAA_00015	CDS			hypothetical protein
PDJHNNAA_00015	gene			
PDJHNNAA_00016	CDS			hypothetical protein
PDJHNNAA_00016	gene			
PDJHNNAA_00017	CDS			hypothetical protein
PDJHNNAA_00017	gene			
PDJHNNAA_00018	CDS	paeR7IM	2.1.1.72	Modification methylase PaeR7I
PDJHNNAA_00018	gene	paeR7IM		
PDJHNNAA_00019	CDS			hypothetical protein
PDJHNNAA_00019	gene			
PDJHNNAA_00020	CDS	nusA		Transcription termination/antitermination protein NusA
PDJHNNAA_00020	gene	nusA		
PDJHNNAA_00021	CDS	selA	2.9.1.1	L-seryl-tRNA(Sec) selenium transferase
PDJHNNAA_00021	gene	selA		
PDJHNNAA_00022	CDS	bhuA_1		Heme transporter BhuA
PDJHNNAA_00022	gene	bhuA_1		
PDJHNNAA_00023	CDS			hypothetical protein
PDJHNNAA_00023	gene			
PDJHNNAA_00024	CDS			hypothetical protein
PDJHNNAA_00024	gene			
PDJHNNAA_00025	CDS	plsY	2.3.1.-	Glycerol-3-phosphate acyltransferase
PDJHNNAA_00025	gene	plsY		
PDJHNNAA_00026	CDS	yccM		Putative electron transport protein YccM
PDJHNNAA_00026	gene	yccM		
PDJHNNAA_00027	CDS		1.5.1.43	Carboxynorspermidine synthase
PDJHNNAA_00027	gene			
PDJHNNAA_00028	CDS	gltS		Sodium/glutamate symporter
PDJHNNAA_00028	gene	gltS		
PDJHNNAA_00029	CDS	ribD		Riboflavin biosynthesis protein RibD
PDJHNNAA_00029	gene	ribD		
PDJHNNAA_00030	CDS	yfiC	2.1.1.223	tRNA1(Val) (adenine(37)-N6)-methyltransferase
PDJHNNAA_00030	gene	yfiC		
PDJHNNAA_00031	CDS	copA_1	3.6.3.54	Copper-exporting P-type ATPase A
PDJHNNAA_00031	gene	copA_1		
PDJHNNAA_00032	CDS			hypothetical protein
PDJHNNAA_00032	gene			
PDJHNNAA_00033	CDS			hypothetical protein
PDJHNNAA_00033	gene			
PDJHNNAA_00034	CDS			hypothetical protein
PDJHNNAA_00034	gene			
PDJHNNAA_00035	CDS			hypothetical protein
PDJHNNAA_00035	gene			
PDJHNNAA_00036	CDS	pth	3.1.1.29	Peptidyl-tRNA hydrolase
PDJHNNAA_00036	gene	pth		
PDJHNNAA_00037	CDS	rplY		50S ribosomal protein L25
PDJHNNAA_00037	gene	rplY		
PDJHNNAA_00038	CDS	tal	2.2.1.2	Transaldolase
PDJHNNAA_00038	gene	tal		
PDJHNNAA_00039	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
PDJHNNAA_00039	gene	murE		
PDJHNNAA_00040	CDS			hypothetical protein
PDJHNNAA_00040	gene			
PDJHNNAA_00041	CDS	nfuA		Fe/S biogenesis protein NfuA
PDJHNNAA_00041	gene	nfuA		
